mode,task,trial,turn,completion_tokens,prompt_tokens,total_tokens,reasoning_tokens,latency_s
Qwen3-4B-nothink,HumanEval_0,0,1,187,576,763,0,2.488212
Qwen3-4B-nothink,HumanEval_0,1,1,194,576,770,0,2.369249
Qwen3-4B-nothink,HumanEval_0,2,1,193,576,769,0,2.312825
Qwen3-4B-nothink,HumanEval_1,0,1,212,567,779,0,2.555109
Qwen3-4B-nothink,HumanEval_1,0,2,324,799,1123,0,3.413278
Qwen3-4B-nothink,HumanEval_1,0,3,245,1143,1388,0,2.612258
Qwen3-4B-nothink,HumanEval_1,0,4,267,1408,1675,0,2.857146
Qwen3-4B-nothink,HumanEval_1,0,5,264,1695,1959,0,2.839664
Qwen3-4B-nothink,HumanEval_1,0,6,267,1979,2246,0,2.887991
Qwen3-4B-nothink,HumanEval_1,1,1,206,567,773,0,2.443084
Qwen3-4B-nothink,HumanEval_1,1,2,268,793,1061,0,2.824261
Qwen3-4B-nothink,HumanEval_1,1,3,258,1081,1339,0,2.751298
Qwen3-4B-nothink,HumanEval_1,1,4,261,1359,1620,0,2.792187
Qwen3-4B-nothink,HumanEval_1,1,5,273,1640,1913,0,2.933995
Qwen3-4B-nothink,HumanEval_1,2,1,210,567,777,0,2.498735
Qwen3-4B-nothink,HumanEval_1,2,2,283,797,1080,0,2.987076
Qwen3-4B-nothink,HumanEval_10,0,1,215,594,809,0,2.550382
Qwen3-4B-nothink,HumanEval_10,1,1,183,594,777,0,2.204732
Qwen3-4B-nothink,HumanEval_10,2,1,85,594,679,0,1.182799
Qwen3-4B-nothink,HumanEval_10,2,2,140,699,839,0,1.484371
Qwen3-4B-nothink,HumanEval_100,0,1,186,584,770,0,2.218007
Qwen3-4B-nothink,HumanEval_100,1,1,191,584,775,0,2.288729
Qwen3-4B-nothink,HumanEval_100,2,1,191,584,775,0,2.336857
Qwen3-4B-nothink,HumanEval_101,0,1,172,568,740,0,2.082001
Qwen3-4B-nothink,HumanEval_101,1,1,147,568,715,0,1.807993
Qwen3-4B-nothink,HumanEval_101,1,2,193,735,928,0,2.04199
Qwen3-4B-nothink,HumanEval_101,2,1,159,568,727,0,1.98498
Qwen3-4B-nothink,HumanEval_101,2,2,209,747,956,0,2.206258
Qwen3-4B-nothink,HumanEval_102,0,1,143,551,694,0,1.776195
Qwen3-4B-nothink,HumanEval_102,0,2,233,714,947,0,2.45163
Qwen3-4B-nothink,HumanEval_102,0,3,208,967,1175,0,2.216964
Qwen3-4B-nothink,HumanEval_102,1,1,143,551,694,0,1.769302
Qwen3-4B-nothink,HumanEval_102,1,2,181,714,895,0,1.911154
Qwen3-4B-nothink,HumanEval_102,2,1,143,551,694,0,1.875268
Qwen3-4B-nothink,HumanEval_102,2,2,188,714,902,0,1.978618
Qwen3-4B-nothink,HumanEval_102,2,3,214,922,1136,0,2.266711
Qwen3-4B-nothink,HumanEval_103,0,1,242,602,844,0,2.843084
Qwen3-4B-nothink,HumanEval_103,1,1,240,602,842,0,2.806597
Qwen3-4B-nothink,HumanEval_103,2,1,240,602,842,0,2.842106
Qwen3-4B-nothink,HumanEval_104,0,1,162,567,729,0,1.979075
Qwen3-4B-nothink,HumanEval_104,1,1,162,567,729,0,1.992192
Qwen3-4B-nothink,HumanEval_104,2,1,162,567,729,0,2.013827
Qwen3-4B-nothink,HumanEval_105,0,1,458,731,1189,0,5.097451
Qwen3-4B-nothink,HumanEval_105,1,1,458,731,1189,0,5.08209
Qwen3-4B-nothink,HumanEval_105,2,1,456,731,1187,0,5.137091
Qwen3-4B-nothink,HumanEval_106,0,1,230,578,808,0,2.672247
Qwen3-4B-nothink,HumanEval_106,1,1,230,578,808,0,2.700888
Qwen3-4B-nothink,HumanEval_106,2,1,230,578,808,0,2.716024
Qwen3-4B-nothink,HumanEval_107,0,1,309,666,975,0,3.528293
Qwen3-4B-nothink,HumanEval_107,1,1,309,666,975,0,3.517134
Qwen3-4B-nothink,HumanEval_107,2,1,309,666,975,0,3.545018
Qwen3-4B-nothink,HumanEval_108,0,1,188,580,768,0,2.263901
Qwen3-4B-nothink,HumanEval_108,0,2,367,1284,1651,0,3.931042
Qwen3-4B-nothink,HumanEval_108,0,3,359,2151,2510,0,3.922979
Qwen3-4B-nothink,HumanEval_108,0,4,361,3015,3376,0,3.996408
Qwen3-4B-nothink,HumanEval_108,0,5,359,3881,4240,0,4.025815
Qwen3-4B-nothink,HumanEval_108,0,6,333,4745,5078,0,3.785751
Qwen3-4B-nothink,HumanEval_108,1,1,287,580,867,0,3.279623
Qwen3-4B-nothink,HumanEval_108,2,1,287,580,867,0,3.336271
Qwen3-4B-nothink,HumanEval_109,0,1,408,751,1159,0,4.572672
Qwen3-4B-nothink,HumanEval_109,1,1,448,751,1199,0,4.976418
Qwen3-4B-nothink,HumanEval_109,2,1,523,751,1274,0,5.832198
Qwen3-4B-nothink,HumanEval_109,2,2,550,1294,1844,0,5.858546
Qwen3-4B-nothink,HumanEval_109,2,3,545,1864,2409,0,5.875243
Qwen3-4B-nothink,HumanEval_109,2,4,551,2429,2980,0,5.995683
Qwen3-4B-nothink,HumanEval_109,2,5,551,3000,3551,0,6.043457
Qwen3-4B-nothink,HumanEval_109,2,6,544,3571,4115,0,6.027865
Qwen3-4B-nothink,HumanEval_11,0,1,203,534,737,0,2.44312
Qwen3-4B-nothink,HumanEval_11,1,1,203,534,737,0,2.417909
Qwen3-4B-nothink,HumanEval_11,2,1,210,534,744,0,2.474863
Qwen3-4B-nothink,HumanEval_110,0,1,380,649,1029,0,4.261016
Qwen3-4B-nothink,HumanEval_110,0,2,464,1049,1513,0,4.921646
Qwen3-4B-nothink,HumanEval_110,1,1,377,649,1026,0,4.264665
Qwen3-4B-nothink,HumanEval_110,1,2,484,1046,1530,0,5.118863
Qwen3-4B-nothink,HumanEval_110,2,1,377,649,1026,0,4.286796
Qwen3-4B-nothink,HumanEval_110,2,2,382,1046,1428,0,4.036338
Qwen3-4B-nothink,HumanEval_111,0,1,277,603,880,0,3.167177
Qwen3-4B-nothink,HumanEval_111,1,1,279,603,882,0,3.202685
Qwen3-4B-nothink,HumanEval_111,2,1,274,603,877,0,3.189534
Qwen3-4B-nothink,HumanEval_112,0,1,228,614,842,0,2.669812
Qwen3-4B-nothink,HumanEval_112,1,1,223,614,837,0,2.622722
Qwen3-4B-nothink,HumanEval_112,2,1,228,614,842,0,2.729166
Qwen3-4B-nothink,HumanEval_113,0,1,165,634,799,0,2.016779
Qwen3-4B-nothink,HumanEval_113,0,2,210,819,1029,0,2.22057
Qwen3-4B-nothink,HumanEval_113,1,1,171,634,805,0,2.060293
Qwen3-4B-nothink,HumanEval_113,1,2,268,825,1093,0,2.824305
Qwen3-4B-nothink,HumanEval_113,1,3,241,1113,1354,0,2.571419
Qwen3-4B-nothink,HumanEval_113,1,4,239,1374,1613,0,2.555793
Qwen3-4B-nothink,HumanEval_113,1,5,247,1633,1880,0,2.656291
Qwen3-4B-nothink,HumanEval_113,1,6,241,1900,2141,0,2.606752
Qwen3-4B-nothink,HumanEval_113,2,1,164,634,798,0,2.063958
Qwen3-4B-nothink,HumanEval_114,0,1,137,540,677,0,1.710042
Qwen3-4B-nothink,HumanEval_114,1,1,136,540,676,0,1.702931
Qwen3-4B-nothink,HumanEval_114,2,1,136,540,676,0,1.749125
Qwen3-4B-nothink,HumanEval_115,0,1,387,778,1165,0,4.359702
Qwen3-4B-nothink,HumanEval_115,1,1,387,778,1165,0,4.345882
Qwen3-4B-nothink,HumanEval_115,2,1,387,778,1165,0,4.401098
Qwen3-4B-nothink,HumanEval_116,0,1,443,622,1065,0,4.907904
Qwen3-4B-nothink,HumanEval_116,0,2,704,1085,1789,0,7.466862
Qwen3-4B-nothink,HumanEval_116,0,3,702,1809,2511,0,7.559488
Qwen3-4B-nothink,HumanEval_116,0,4,702,2531,3233,0,7.647052
Qwen3-4B-nothink,HumanEval_116,0,5,704,3253,3957,0,7.764886
Qwen3-4B-nothink,HumanEval_116,0,6,704,3977,4681,0,7.863503
Qwen3-4B-nothink,HumanEval_116,1,1,275,622,897,0,3.170746
Qwen3-4B-nothink,HumanEval_116,1,2,367,917,1284,0,3.870161
Qwen3-4B-nothink,HumanEval_116,1,3,412,1304,1716,0,4.389411
Qwen3-4B-nothink,HumanEval_116,1,4,412,1736,2148,0,4.431241
Qwen3-4B-nothink,HumanEval_116,1,5,412,2168,2580,0,4.462123
Qwen3-4B-nothink,HumanEval_116,1,6,421,2600,3021,0,4.594658
Qwen3-4B-nothink,HumanEval_116,2,1,393,622,1015,0,4.451166
Qwen3-4B-nothink,HumanEval_116,2,2,540,1035,1575,0,5.711669
Qwen3-4B-nothink,HumanEval_116,2,3,463,1595,2058,0,4.967892
Qwen3-4B-nothink,HumanEval_116,2,4,443,2078,2521,0,4.799863
Qwen3-4B-nothink,HumanEval_116,2,5,439,2541,2980,0,4.786484
Qwen3-4B-nothink,HumanEval_116,2,6,437,3000,3437,0,4.803375
Qwen3-4B-nothink,HumanEval_117,0,1,254,633,887,0,2.925296
Qwen3-4B-nothink,HumanEval_117,1,1,254,633,887,0,2.966305
Qwen3-4B-nothink,HumanEval_117,2,1,254,633,887,0,2.986255
Qwen3-4B-nothink,HumanEval_118,0,1,292,601,893,0,3.324509
Qwen3-4B-nothink,HumanEval_118,1,1,290,601,891,0,3.316326
Qwen3-4B-nothink,HumanEval_118,2,1,280,601,881,0,3.273523
Qwen3-4B-nothink,HumanEval_119,0,1,242,620,862,0,2.8204
Qwen3-4B-nothink,HumanEval_119,1,1,242,620,862,0,2.830696
Qwen3-4B-nothink,HumanEval_119,2,1,251,620,871,0,2.946851
